step,train loss,train loss_eval,train spearmanr,valid loss,valid loss_eval,valid spearmanr
1000,0.5749948,0.43835148,0.6777816270534995,0.6097383108362555,0.4731098455376923,0.6260189195253631
2000,0.38229743,0.254557,0.8042283859002334,0.5613133730180562,0.43358181808143853,0.6447728047122864
3000,1.2893903,1.168063,0.7040164982547381,0.5478398981504142,0.42651709106052293,0.5871338773242064
4000,0.75526017,0.639246,0.5079804442552159,0.8236814405396581,0.7076731639355421,0.6545465933844025
5000,0.50171185,0.3907444,0.6678881583461633,0.5131469150632619,0.4021819459320977,0.6538145523115965
6000,0.28601214,0.18085347,0.7266610888160381,0.7709695025347173,0.6658185772178694,0.6474882259894088
7000,0.761783,0.66322964,0.6656943996779318,0.6843471285887063,0.585800728132017,0.6519713202380651
8000,0.3181039,0.22664598,0.5990353438580714,0.5436074461229146,0.45215803910978136,0.6401955990530852
9000,0.4237585,0.33763996,0.767329613167929,0.42858639020472766,0.3424708653893322,0.6871306866710333
10000,0.89767855,0.8152263,0.8402791736629868,0.4202854749932885,0.3378369011566974,0.67542620699517
11000,0.5410728,0.462293,0.847268242829722,0.4584320211689919,0.37965620517265053,0.6586786963175674
12000,0.41007194,0.3344639,0.4646507836968141,0.5133080535195768,0.4377012099791318,0.6670108255142302
13000,0.33936775,0.26629114,0.8098520672489462,0.45441711029037835,0.3813422920787707,0.6802930165737117
14000,0.3793425,0.30871347,0.6974195696433421,0.49782119316980245,0.427195303644985,0.6891382213896962
15000,0.35572508,0.28811285,0.702960540632798,0.5562424984574318,0.4886337925493717,0.6891452326761808
16000,0.45319575,0.38896042,0.7250919616087645,0.4710996429994702,0.4068669374287128,0.6855102887435723
17000,0.32557863,0.26385778,0.8589954589532587,0.37590082282200454,0.3141799328662455,0.7004567922575992
18000,0.36215726,0.30163062,0.7526727139586146,0.37226353246718646,0.31174000672530383,0.6936713261826603
19000,0.35138142,0.29242206,0.9042277402245751,0.386685647694394,0.3277276675472967,0.6891911523320801
20000,0.5574894,0.49994493,0.43921674078958123,0.3837212206423283,0.32617540581151844,0.6966000996881845
21000,0.21113788,0.15450111,0.7712643699778876,0.37725358732044695,0.3206181672308594,0.7072250500156607
22000,0.33443156,0.27823934,0.6914904433270866,0.3816826910991222,0.3254914146568626,0.6949582002734287
23000,0.17887235,0.124072716,0.8375951700647576,0.4577530369348824,0.4029551565600559,0.6990712117192964
24000,0.24719553,0.19406915,0.7501860462242235,0.4488102360907942,0.39568548877723514,0.7021168620881795
25000,0.2597748,0.20797852,0.7799604365016714,0.3768059575464576,0.3250108164688572,0.7015149903086144
