
Epoch: 0 	Training Loss: 397.333527 	Validation Loss: 52.312818
Epoch: 1 	Training Loss: 93.400919 	Validation Loss: 53.192669
Epoch: 2 	Training Loss: 400.160115 	Validation Loss: 110.992105
Epoch: 3 	Training Loss: 124.241214 	Validation Loss: 73.625805
Epoch: 4 	Training Loss: 72.955701 	Validation Loss: 70.143732
Epoch: 5 	Training Loss: 62.581531 	Validation Loss: 46.526964
Epoch: 6 	Training Loss: 461.383118 	Validation Loss: 55.529619
Epoch: 7 	Training Loss: 64.797139 	Validation Loss: 44.911289
Epoch: 8 	Training Loss: 71.311948 	Validation Loss: 1511.033585
Epoch: 9 	Training Loss: 62.490811 	Validation Loss: 43.699832
Epoch: 10 	Training Loss: 63.686281 	Validation Loss: 44.116462

Epoch: 0 	Training Loss: 354.853102 	Validation Loss: 87.971441
Epoch: 1 	Training Loss: 146.194903 	Validation Loss: 85.631944
Epoch: 2 	Training Loss: 71.275834 	Validation Loss: 55.883944
Epoch: 3 	Training Loss: 72.002762 	Validation Loss: 56.073149
Epoch: 4 	Training Loss: 116.610484 	Validation Loss: 52.044542
Epoch: 5 	Training Loss: 58.982882 	Validation Loss: 46.624308
Epoch: 6 	Training Loss: 47.337992 	Validation Loss: 47.260556
Epoch: 7 	Training Loss: 47.150569 	Validation Loss: 47.518645
Epoch: 8 	Training Loss: 47.006433 	Validation Loss: 48.399875
Epoch: 9 	Training Loss: 46.687011 	Validation Loss: 46.943256
Epoch: 10 	Training Loss: 46.671643 	Validation Loss: 53.499769
Epoch: 11 	Training Loss: 46.561565 	Validation Loss: 46.522487
Epoch: 12 	Training Loss: 45.754383 	Validation Loss: 47.863000
Epoch: 13 	Training Loss: 45.695592 	Validation Loss: 46.603159
Epoch: 14 	Training Loss: 45.546461 	Validation Loss: 47.148566
Epoch: 15 	Training Loss: 45.543745 	Validation Loss: 47.685573
Epoch: 16 	Training Loss: 45.736948 	Validation Loss: 47.943996
Epoch: 17 	Training Loss: 45.376189 	Validation Loss: 47.411900
Epoch: 18 	Training Loss: 45.348517 	Validation Loss: 47.474556
Epoch: 19 	Training Loss: 45.394086 	Validation Loss: 47.597078
Epoch: 20 	Training Loss: 45.627688 	Validation Loss: 46.841859
Epoch: 21 	Training Loss: 45.551193 	Validation Loss: 48.049956
Epoch: 22 	Training Loss: 45.354995 	Validation Loss: 46.916414
Epoch: 23 	Training Loss: 45.298133 	Validation Loss: 47.439945
Epoch: 24 	Training Loss: 45.321023 	Validation Loss: 47.818019

Epoch: 0 	Training Loss: 101.176077 	Validation Loss: 99.203193
Epoch: 1 	Training Loss: 92.516808 	Validation Loss: 65.539718
Epoch: 2 	Training Loss: 66.495947 	Validation Loss: 68.922680
Epoch: 3 	Training Loss: 68.472340 	Validation Loss: 66.262530
Epoch: 4 	Training Loss: 71.752306 	Validation Loss: 65.059840
Epoch: 5 	Training Loss: 71.403389 	Validation Loss: 69.449939
Epoch: 6 	Training Loss: 64.660146 	Validation Loss: 69.295411
Epoch: 7 	Training Loss: 60.684391 	Validation Loss: 71.387758
Epoch: 8 	Training Loss: 58.704392 	Validation Loss: 68.510676
Epoch: 9 	Training Loss: 56.867157 	Validation Loss: 69.689785
Epoch: 10 	Training Loss: 56.363170 	Validation Loss: 70.246603
Epoch: 0 	Training Loss: 76.061933 	Validation Loss: 50.152081
Epoch: 1 	Training Loss: 42.717026 	Validation Loss: 38.087521
Epoch: 2 	Training Loss: 39.688640 	Validation Loss: 36.358262
Epoch: 3 	Training Loss: 39.462158 	Validation Loss: 38.009959
Epoch: 4 	Training Loss: 39.066019 	Validation Loss: 31.514466
