
Epoch: 0 	Training Loss: 360.498832 	Validation Loss: 82.780018
Epoch: 1 	Training Loss: 98.467591 	Validation Loss: 36.773978
Epoch: 2 	Training Loss: 66.401382 	Validation Loss: 139.371210
Epoch: 3 	Training Loss: 62.499565 	Validation Loss: 47.719057

Epoch: 0 	Training Loss: 405.247772 	Validation Loss: 51.176751
Epoch: 1 	Training Loss: 370.833087 	Validation Loss: 1353.263634
Epoch: 2 	Training Loss: 110.682147 	Validation Loss: 34.672454
Epoch: 3 	Training Loss: 66.599417 	Validation Loss: 51.724292
Epoch: 4 	Training Loss: 68.038370 	Validation Loss: 37.051646
Epoch: 5 	Training Loss: 70.284358 	Validation Loss: 64.508488
Epoch: 6 	Training Loss: 42.573405 	Validation Loss: 40.126430
Epoch: 7 	Training Loss: 44.841747 	Validation Loss: 46.180325
Epoch: 8 	Training Loss: 47.887205 	Validation Loss: 46.239368

Epoch: 0 	Training Loss: 431.730749 	Validation Loss: 83.465901
Epoch: 1 	Training Loss: 483.422422 	Validation Loss: 88.702779
Epoch: 2 	Training Loss: 127.683342 	Validation Loss: 167.323531
Epoch: 3 	Training Loss: 77.972615 	Validation Loss: 40.290215
Epoch: 4 	Training Loss: 74.448123 	Validation Loss: 53.573445
Epoch: 5 	Training Loss: 89.487010 	Validation Loss: 55.411508
Epoch: 6 	Training Loss: 49.780955 	Validation Loss: 41.014182
Epoch: 7 	Training Loss: 48.409355 	Validation Loss: 42.412888
