
Epoch: 0 	Training Loss: 121.095398 	Validation Loss: 80.307766
Epoch: 1 	Training Loss: 81.395407 	Validation Loss: 91.842202
Epoch: 2 	Training Loss: 77.638212 	Validation Loss: 76.084281
Epoch: 3 	Training Loss: 76.229574 	Validation Loss: 70.073383
Epoch: 4 	Training Loss: 73.893441 	Validation Loss: 82.970792
Epoch: 5 	Training Loss: 71.543902 	Validation Loss: 58.814610
Epoch: 6 	Training Loss: 66.582101 	Validation Loss: 64.093838
Epoch: 7 	Training Loss: 66.445962 	Validation Loss: 60.290088
Epoch: 8 	Training Loss: 65.641407 	Validation Loss: 61.732338
Epoch: 9 	Training Loss: 64.618549 	Validation Loss: 54.430516
Epoch: 10 	Training Loss: 62.268276 	Validation Loss: 55.739892
Epoch: 11 	Training Loss: 60.633346 	Validation Loss: 58.805680
Epoch: 12 	Training Loss: 58.424539 	Validation Loss: 58.233505
Epoch: 13 	Training Loss: 56.603362 	Validation Loss: 54.234727
Epoch: 14 	Training Loss: 54.801050 	Validation Loss: 50.058579
Epoch: 15 	Training Loss: 52.578607 	Validation Loss: 43.532121
Epoch: 16 	Training Loss: 49.965988 	Validation Loss: 42.736892
Epoch: 17 	Training Loss: 46.731340 	Validation Loss: 40.521963
Epoch: 18 	Training Loss: 43.714338 	Validation Loss: 31.092145
Epoch: 19 	Training Loss: 40.950709 	Validation Loss: 33.939580
Epoch: 20 	Training Loss: 37.181152 	Validation Loss: 29.507809
Epoch: 21 	Training Loss: 35.015932 	Validation Loss: 27.727935
Epoch: 22 	Training Loss: 33.465602 	Validation Loss: 25.333251
Epoch: 23 	Training Loss: 32.078200 	Validation Loss: 28.709675
Epoch: 24 	Training Loss: 31.441312 	Validation Loss: 22.838073
Epoch: 25 	Training Loss: 31.331023 	Validation Loss: 24.400848
Epoch: 26 	Training Loss: 31.212980 	Validation Loss: 25.301440
Epoch: 27 	Training Loss: 31.090357 	Validation Loss: 28.264407
Epoch: 28 	Training Loss: 30.987563 	Validation Loss: 29.926457
Epoch: 29 	Training Loss: 30.869467 	Validation Loss: 24.661411
Epoch: 30 	Training Loss: 30.817494 	Validation Loss: 28.293728
Epoch: 31 	Training Loss: 30.825108 	Validation Loss: 25.867764
Epoch: 32 	Training Loss: 30.806727 	Validation Loss: 26.932621
