
Epoch: 0 	Training Loss: 450.433211 	Validation Loss: 92.404580
Epoch: 1 	Training Loss: 369.481459 	Validation Loss: 89.698134
Epoch: 2 	Training Loss: 110.060104 	Validation Loss: 98.163300
Epoch: 3 	Training Loss: 105.058318 	Validation Loss: 76.036043
Epoch: 4 	Training Loss: 122.937705 	Validation Loss: 78.944765
Epoch: 5 	Training Loss: 91.754821 	Validation Loss: 69.780171
Epoch: 6 	Training Loss: 71.043626 	Validation Loss: 66.798755
Epoch: 7 	Training Loss: 69.922111 	Validation Loss: 67.279835
Epoch: 8 	Training Loss: 69.453002 	Validation Loss: 65.860762
Epoch: 9 	Training Loss: 68.853267 	Validation Loss: 64.735221
Epoch: 10 	Training Loss: 68.632753 	Validation Loss: 68.506775
Epoch: 11 	Training Loss: 68.311216 	Validation Loss: 64.166363
Epoch: 12 	Training Loss: 66.496362 	Validation Loss: 68.103549
Epoch: 13 	Training Loss: 66.364545 	Validation Loss: 65.969044
Epoch: 14 	Training Loss: 66.279745 	Validation Loss: 64.946583
Epoch: 15 	Training Loss: 66.323500 	Validation Loss: 66.094847
Epoch: 16 	Training Loss: 64.280748 	Validation Loss: 65.556309
Epoch: 17 	Training Loss: 62.411944 	Validation Loss: 60.699835
Epoch: 18 	Training Loss: 60.158058 	Validation Loss: 60.553841
Epoch: 19 	Training Loss: 58.300745 	Validation Loss: 56.683629
Epoch: 20 	Training Loss: 56.430271 	Validation Loss: 56.706722
Epoch: 21 	Training Loss: 54.536564 	Validation Loss: 55.109117
Epoch: 22 	Training Loss: 52.654890 	Validation Loss: 55.360275
Epoch: 23 	Training Loss: 50.696095 	Validation Loss: 50.332012
Epoch: 24 	Training Loss: 48.838785 	Validation Loss: 48.339736
Epoch: 25 	Training Loss: 46.975917 	Validation Loss: 47.392639
Epoch: 26 	Training Loss: 45.091502 	Validation Loss: 44.628146
Epoch: 27 	Training Loss: 43.112531 	Validation Loss: 41.754401
